m,n,k,time_us
5,4440,24,9462
5,4440,24,80
19,4440,24,1724
19,4440,24,276
5,925,24,29
19,925,24,75
5,925,24,32
19,925,24,79
5,3515,24,71
19,3515,24,233
5,3515,24,67
19,3515,24,232
95,95,185,139
19,19,5,22
95,95,95,74
5,19,19,17
5,925,19,23
185,1,95,10070
925,5,19,44
1,185,95,79
3515,19,5,82
5,5,19,21
5,5,19,12
1,1,95,36
5,925,19,30
25,25,361,84
1,185,95,34
361,1,185,59
1,1,4625,780
19,5,925,2557
1,1,185,44
95,1,185,36
25,1,185,33
95,95,95,110
5,5,925,114
25,361,185,200
95,1,95,40
95,185,95,164
25,25,185,44
95,185,95,153
95,185,95,148
5,5,3515,164
95,95,95,79
5,5,3515,162
95,95,95,79
1,1,17575,45
19,5,3515,3187
95,95,95,81
5,3515,19,64
19,5,5,24
5,3515,19,63
95,1,185,31
95,95,95,84
19,19,925,782
19,925,5,37
95,185,1,5015
19,925,5,35
1805,5,5,25
1805,5,5,24
475,19,19,36
475,19,19,34
25,361,25,36
361,361,185,1774
361,25,361,321
95,95,185,132
5,19,925,55
19,19,5,22
95,95,95,79
5,19,19,17
5,925,19,26
185,1,95,35
925,5,19,41
1,185,95,28
3515,19,5,76
5,5,19,16
5,5,19,12
1,1,95,23
5,925,19,22
25,25,361,83
1,185,95,27
361,1,185,55
1,1,4625,27
19,5,925,421
1,1,185,21
95,1,185,22
25,1,185,21
95,95,95,80
5,5,925,52
25,361,185,178
95,1,95,31
95,185,95,163
25,25,185,54
95,185,95,156
95,185,95,157
5,5,3515,164
95,95,95,82
5,5,3515,162
95,95,95,79
1,1,17575,48
19,5,3515,221
95,95,95,102
5,3515,19,61
19,5,5,19
5,3515,19,60
95,1,185,29
95,95,95,78
19,19,925,778
19,925,5,31
95,185,1,13
19,925,5,25
1805,5,5,24
1805,5,5,23
475,19,19,34
475,19,19,33
25,361,25,35
361,361,185,1784
361,25,361,328
95,95,185,132
5,19,925,54
19,19,5,24
95,95,95,81
5,19,19,18
5,925,19,24
185,1,95,33
925,5,19,42
1,185,95,43
3515,19,5,76
5,5,19,18
5,5,19,11
1,1,95,29
5,925,19,22
25,25,361,82
1,185,95,30
361,1,185,49
1,1,4625,37
19,5,925,632
1,1,185,22
95,1,185,22
25,1,185,20
95,95,95,81
5,5,925,52
25,361,185,177
95,1,95,29
95,185,95,163
25,25,185,43
95,185,95,146
95,185,95,162
5,5,3515,165
95,95,95,80
5,5,3515,161
95,95,95,78
1,1,17575,43
19,5,3515,266
95,95,95,78
5,3515,19,59
19,5,5,17
5,3515,19,60
95,1,185,35
95,95,95,82
19,19,925,421
19,925,5,31
95,185,1,13
19,925,5,25
1805,5,5,24
1805,5,5,23
475,19,19,35
475,19,19,46
25,361,25,37
361,361,185,1781
361,25,361,327
95,95,185,133
5,19,925,59
19,19,5,26
95,95,95,80
5,19,19,18
5,925,19,25
185,1,95,32
925,5,19,39
1,185,95,30
3515,19,5,75
5,5,19,17
5,5,19,11
1,1,95,24
5,925,19,21
25,25,361,80
1,185,95,30
361,1,185,53
1,1,4625,27
19,5,925,422
1,1,185,25
95,1,185,22
25,1,185,20
95,95,95,79
5,5,925,53
25,361,185,176
95,1,95,27
95,185,95,161
25,25,185,42
95,185,95,159
95,185,95,155
5,5,3515,160
95,95,95,86
5,5,3515,163
95,95,95,80
1,1,17575,40
19,5,3515,262
95,95,95,77
5,3515,19,65
19,5,5,20
5,3515,19,58
95,1,185,28
95,95,95,77
19,19,925,776
19,925,5,31
95,185,1,13
19,925,5,25
1805,5,5,25
1805,5,5,23
475,19,19,33
475,19,19,35
25,361,25,34
361,361,185,1780
361,25,361,325
95,95,185,135
5,19,925,55
19,19,5,23
95,95,95,77
5,19,19,18
5,925,19,26
185,1,95,35
925,5,19,43
1,185,95,51
3515,19,5,82
5,5,19,18
5,5,19,11
1,1,95,29
5,925,19,22
25,25,361,82
1,185,95,33
361,1,185,50
1,1,4625,27
19,5,925,778
1,1,185,28
95,1,185,22
25,1,185,20
95,95,95,82
5,5,925,53
25,361,185,180
95,1,95,31
95,185,95,156
25,25,185,43
95,185,95,142
95,185,95,152
5,5,3515,163
95,95,95,81
5,5,3515,160
95,95,95,83
1,1,17575,40
19,5,3515,203
95,95,95,78
5,3515,19,59
19,5,5,20
5,3515,19,59
95,1,185,37
95,95,95,87
19,19,925,423
19,925,5,31
95,185,1,14
19,925,5,26
1805,5,5,25
1805,5,5,25
475,19,19,35
475,19,19,44
25,361,25,35
361,361,185,1799
361,25,361,329
95,95,185,137
5,19,925,56
19,19,5,27
95,95,95,76
5,19,19,18
5,925,19,22
185,1,95,34
925,5,19,40
1,185,95,33
3515,19,5,80
5,5,19,18
5,5,19,11
1,1,95,26
5,925,19,23
25,25,361,83
1,185,95,28
361,1,185,60
1,1,4625,34
19,5,925,440
1,1,185,51
95,1,185,41
25,1,185,37
95,95,95,82
5,5,925,53
25,361,185,176
95,1,95,46
95,185,95,157
25,25,185,63
95,185,95,149
95,185,95,153
5,5,3515,161
95,95,95,79
5,5,3515,161
95,95,95,77
1,1,17575,36
19,5,3515,258
95,95,95,77
5,3515,19,62
19,5,5,18
5,3515,19,58
95,1,185,30
95,95,95,79
19,19,925,422
19,925,5,31
95,185,1,14
19,925,5,27
1805,5,5,24
1805,5,5,23
475,19,19,36
475,19,19,34
25,361,25,34
361,361,185,1780
361,25,361,325
95,95,185,133
5,19,925,55
19,19,5,30
95,95,95,81
5,19,19,17
5,925,19,26
185,1,95,33
925,5,19,39
